-0.07,               0.035,              -0.245
-0.07,                0.02,               -0.29
0.005,              -0.035,              -0.245
0.005,               -0.02,               -0.29
0,               0.175,              -0.115
0,               -0.08,              -0.115
-0.09,               0.035,               -0.13
-0.1,               0.035,               -0.09
-0.1,                0.02,              -0.065
-0.015,              -0.035,               -0.13
-0.025,              -0.035,               -0.09
-0.025,               -0.02,              -0.065
-0.09,               0.035,               -0.19
-0.015,              -0.035,               -0.19
0,                   0,                0.06
0,                   0,                0.03
0,                0.15,                   0
0,               0.175,                   0
0,               0.175,              -0.085
0,              -0.055,                   0
0,               -0.08,                   0
0,               -0.08,              -0.085
