0,                   0,             0.37861
0,                   0,             0.37861
0,               0.096,            -0.81004
0,               0.096,            -0.81004
0.21,                0.19,                 0.2
0.21,                0.19,                 0.2
0.510418,            0.215754,            0.187389
0.500856,             0.21458,            0.171972
0.50755,                0.19,             0.20329
0.516364,                0.19,            0.187389
0.50673,                0.19,            0.171972
0.49166,             0.16522,             0.20329
0.500408,            0.164146,            0.187389
0.490846,             0.16532,            0.171972
0.50167,             0.21468,             0.20329
0,               0.096,            -0.20004
0,               0.096,            -0.20004
0,               0.096,            -0.20004
0,               0.096,            -0.52004
0.005,                0.19,                 0.2
0.005,                0.19,                 0.2
0.46345,             0.16535,             0.18767
0.460608,             0.16336,            0.169824
0.472016,            0.171348,            0.158138
0.3923,                0.19,                 0.2
0.3923,                0.19,                 0.2
0.3923,                0.19,                 0.2
0,                   0,              0.2835
0,                   0,              0.2835
0,              -0.096,            -0.81004
0,              -0.096,            -0.81004
0.21,               -0.19,                 0.2
0.21,               -0.19,                 0.2
0.510418,           -0.215754,            0.187389
0.500856,            -0.21458,            0.171972
0.50755,               -0.19,             0.20329
0.516364,               -0.19,            0.187389
0.50673,               -0.19,            0.171972
0.49166,            -0.16522,             0.20329
0.500408,           -0.164146,            0.187389
0.490846,            -0.16532,            0.171972
0.50167,            -0.21468,             0.20329
0,              -0.096,            -0.20004
0,              -0.096,            -0.20004
0,              -0.096,            -0.20004
0,              -0.096,            -0.52004
0.005,               -0.19,                 0.2
0.005,               -0.19,                 0.2
0.46345,            -0.16535,             0.18767
0.460608,            -0.16336,            0.169824
0.472016,           -0.171348,            0.158138
0.3923,               -0.19,                 0.2
0.3923,               -0.19,                 0.2
0.3923,               -0.19,                 0.2
0,                   0,                 0.2
